vertex_id:int,label_id:int,title:string,genres:string,avgrating:double,year:double,gender:string,age:double,occupation:int,zip-code:string
0,0,Guardian Angel (1994),|Action|Drama|Thriller,4.39105,1994,,,,
1,0,James and the Giant Peach (1996),|Animation|Children's|Musical,3.46641,1996,,,,
2,0,My Fair Lady (1964),|Musical|Romance,4.15665,1964,,,,
3,0,Erin Brockovich (2000),|Drama,3.85913,2000,,,,
4,0,"Bug's Life, A (1998)",|Animation|Children's|Comedy,3.85419,1998,,,,
5,0,"Princess Bride, The (1987)",|Action|Adventure|Comedy|Romance,4.30395,1987,,,,
6,0,Ben-Hur (1959),|Action|Adventure|Drama,4.11,1959,,,,
7,0,"Christmas Story, A (1983)",|Comedy|Drama,4.23735,1983,,,,
8,0,Snow White and the Seven Dwarfs (1937),|Animation|Children's|Musical,3.84016,1937,,,,
9,0,"Wizard of Oz, The (1939)",|Adventure|Children's|Drama|Musical,4.24751,1939,,,,
10,0,Beauty and the Beast (1991),|Animation|Children's|Musical,3.88447,1991,,,,
11,0,Gigi (1958),|Musical,3.62032,1958,,,,
12,0,Miracle on 34th Street (1947),|Drama,3.95767,1947,,,,
13,0,Ferris Bueller's Day Off (1986),|Comedy,4.11785,1986,,,,
14,0,"Sound of Music, The (1965)",|Musical,3.93166,1965,,,,
15,0,Airplane! (1980),|Comedy,3.96806,1980,,,,
16,0,Tarzan (1999),|Animation|Children's,3.66287,1999,,,,
17,0,Bambi (1942),|Animation|Children's,3.73854,1942,,,,
18,0,Awakenings (1990),|Drama,3.77663,1990,,,,
19,0,Big (1988),|Comedy|Fantasy,3.85657,1988,,,,
20,0,Pleasantville (1998),|Comedy,3.69905,1998,,,,
21,0,Wallace & Gromit: The Best of Aardman Animation (1996),|Animation,4.42529,1996,,,,
22,0,Back to the Future (1985),|Comedy|Sci-Fi,3.99106,1985,,,,
23,0,Schindler's List (1993),|Drama|War,4.50958,1993,,,,
24,0,Meet Joe Black (1998),|Romance,3.2522,1998,,,,
25,0,Pocahontas (1995),|Animation|Children's|Musical|Romance,2.97368,1995,,,,
26,0,E.T. the Extra-Terrestrial (1982),|Children's|Drama|Fantasy|Sci-Fi,3.96351,1982,,,,
27,0,Titanic (1997),|Drama|Romance,3.5848,1997,,,,
28,0,Ponette (1996),|Drama,4.06849,1996,,,,
29,0,"Close Shave, A (1995)",|Animation|Comedy|Thriller,4.52227,1995,,,,
30,0,Antz (1998),|Animation|Children's,3.48362,1998,,,,
31,0,"Girl, Interrupted (1999)",|Drama,3.47196,1999,,,,
32,0,Hercules (1997),|Adventure|Animation|Children's|Comedy|Musical,3.27991,1997,,,,
33,0,Aladdin (1992),|Animation|Children's|Comedy|Musical,3.78971,1992,,,,
34,0,Mulan (1998),|Animation|Children's,3.74233,1998,,,,
35,0,"Hunchback of Notre Dame, The (1996)",|Animation|Children's|Musical,3.22108,1996,,,,
36,0,"Last Days of Disco, The (1998)",|Drama,3.31343,1998,,,,
37,0,Cinderella (1950),|Animation|Children's|Musical,3.75563,1950,,,,
38,0,"Sixth Sense, The (1999)",|Thriller,4.40764,1999,,,,
39,0,Apollo 13 (1995),|Drama,4.07723,1995,,,,
40,0,Toy Story (1995),|Animation|Children's|Comedy,4.14707,1995,,,,
41,0,Rain Man (1988),|Drama,4.05204,1988,,,,
42,0,Driving Miss Daisy (1989),|Drama,3.87654,1989,,,,
43,0,Run Lola Run (Lola rennt) (1998),|Action|Crime|Romance,4.22264,1998,,,,
44,0,Star Wars: Episode IV - A New Hope (1977),|Action|Adventure|Fantasy|Sci-Fi,4.45232,1977,,,,
45,0,Mary Poppins (1964),|Children's|Comedy|Musical,3.89432,1964,,,,
46,0,Dumbo (1941),|Animation|Children's|Musical,3.68617,1941,,,,
47,0,To Kill a Mockingbird (1962),|Drama,4.42532,1962,,,,
48,0,Saving Private Ryan (1998),|Action|Drama|War,4.33687,1998,,,,
49,0,"Secret Garden, The (1993)",|Children's|Drama,3.76923,1993,,,,
50,0,Toy Story 2 (1999),|Animation|Children's|Comedy,4.22265,1999,,,,
51,0,Fargo (1996),|Crime|Drama|Thriller,4.2556,1996,,,,
52,0,Dead Poets Society (1989),|Drama,4.0059,1989,,,,
53,0,Shine (1996),|Drama|Romance,3.80917,1996,,,,
54,0,"Verdict, The (1982)",|Drama,3.86667,1982,,,,
55,0,Shall We Dance? (Shall We Dansu?) (1996),|Comedy,4.13467,1996,,,,
56,0,Courage Under Fire (1996),|Drama|War,3.55329,1996,,,,
57,0,"Untouchables, The (1987)",|Action|Crime|Drama,4.00623,1987,,,,
58,0,Mission: Impossible (1996),|Action|Adventure|Mystery,3.43026,1996,,,,
59,0,"Few Good Men, A (1992)",|Crime|Drama,3.93454,1992,,,,
60,0,Star Wars: Episode I - The Phantom Menace (1999),|Action|Adventure|Fantasy|Sci-Fi,3.40974,1999,,,,
61,0,Rebel Without a Cause (1955),|Drama,3.92519,1955,,,,
62,0,Total Recall (1990),|Action|Adventure|Sci-Fi|Thriller,3.68058,1990,,,,
63,0,"Hustler, The (1961)",|Drama,4.24439,1961,,,,
64,0,Star Wars: Episode VI - Return of the Jedi (1983),|Action|Adventure|Romance|Sci-Fi|War,4.02364,1983,,,,
65,0,U.S. Marshalls (1998),|Action|Thriller,3.17117,1998,,,,
66,0,"Jackal, The (1997)",|Action|Thriller,3.07186,1997,,,,
67,0,GoodFellas (1990),|Crime|Drama,4.27471,1990,,,,
68,0,Gladiator (2000),|Action|Drama,4.10323,2000,,,,
69,0,Double Jeopardy (1999),|Action|Thriller,3.20077,1999,,,,
70,0,Yojimbo (1961),|Comedy|Drama|Western,4.40465,1961,,,,
71,0,Ran (1985),|Drama|War,4.26685,1985,,,,
72,0,Cliffhanger (1993),|Action|Adventure|Crime,3.08333,1993,,,,
73,0,Snake Eyes (1998),|Action|Crime|Mystery|Thriller,2.74694,1998,,,,
74,0,Backdraft (1991),|Action|Drama,3.43995,1991,,,,
75,0,"Fisher King, The (1991)",|Comedy|Drama|Romance,3.6242,1991,,,,
76,0,Mister Roberts (1955),|Comedy|Drama|War,4.14628,1955,,,,
